hr,name,flamsteed,bayer,bayer_sup,cst,hd,sao,var_id,ra_deg_j2000,dec_deg_j2000,vmag,vmag_code,b_v,sp_type,pm_ra_arcsec,pm_de_arcsec,parallax_arcsec,is_ghost
3690, 38    Lyn,38,,,Lyn,80081,61391,,139.71125,36.8025,3.82,,0.06,A3V,-0.03,-0.122,0.042,false
3691,,,,,,80094,236772,Var?,138.822917,-58.388611,6.02,,-0.1,B7IV,-0.022,-0.006,,false
3692,,,,,,80108,221014,4437,139.09625,-44.265833,5.12,,1.67,K3Ib,0.002,-0.001,0.017,false
3693,,,,,,80126,236777,,138.895833,-57.578056,6.32,,1.04,G8II,0.003,-0.003,,false
3694,,,,,,80170,200185,,139.238333,-39.401389,5.33,,1.17,K5III-IV,-0.009,-0.031,0.027,false
3695,,,,,,80194,256594,,138.05125,-76.663056,6.14,,1.09,K1III,0.031,-0.044,,false
3696,,,,,,80230,236787,4440,139.050833,-57.541389,4.34,,1.63,M1III,-0.014,-0.007,0.025,false
3697,,,,,,80290,27215,,140.1825,51.266111,6.13,,0.42,F3V,-0.035,0.15,0.036,false
3698,,,,,,80390,27219,CG UMa,140.430417,56.699167,5.47,,1.61,M4IIIa,-0.01,-0.008,,false
3699,   Iot Car,,Iot,,Car,80404,236808,4444,139.2725,-59.275278,2.25,,0.18,A8Ib,-0.02,0.008,0.017,false
3700,,,,,,80435,236819,,139.42625,-54.495278,6.33,,1.41,K3III,-0.018,-0.004,,false
3701,,,,,,80441,61411,,140.247083,38.188333,6.12,,0.38,F2V+F4V,-0.044,-0.013,0.018,false
3702,,,,,,80447,155090,,139.890417,-11.314167,6.62,,0.08,A2V s,-0.084,0.036,,false
3703,,,,,,80456,236824,,139.524167,-51.051111,5.26,,-0.07,B7-8III,-0.023,0.008,,false
3704,,,,,,80479,155091,,139.888333,-15.834444,5.78,,1.29,K4III,0.052,-0.046,,false
3705, 40Alp Lyn,40,Alp,,Lyn,80493,61414,4456,140.26375,34.3925,3.13,,1.55,K7IIIab,-0.221,0.019,0.025,false
3706, 26    Hya,26,,,Hya,80499,155096,,139.943333,-11.975,4.79,,0.93,G8III,-0.03,0.015,0.023,false
3707,,,,,,80546,61424,,140.363333,32.901944,6.16,,1.09,K3III,0.011,-0.035,,false
3708,,,,,,80558,236837,4454,139.675833,-51.560556,5.87,,0.54,B6Iae,-0.014,0.0,,false
3709, 27    Hya,27,,,Hya,80586,136768,,140.120833,-9.555833,4.8,,0.93,G8III-IV+F5V,-0.014,-0.029,0.022,false
3710,,,,,,80590,200241,,139.949583,-34.103333,6.39,,-0.1,B8V,-0.01,-0.007,,false
3711,,,,,,80613,98517,,140.314167,15.371111,6.53,,-0.01,A1V,-0.036,-0.015,,false
3712,,,,,,80671,250526,,139.321667,-68.689444,5.39,,0.42,F4V,-0.109,-0.02,0.058,false
3713,,,,,,80710,250529,,139.465417,-67.050833,6.11,,1.26,K2III,-0.003,0.014,,false
3714,,,,,,80719,155114,,140.23125,-15.617778,6.33,,0.46,dF6,0.065,-0.107,,false
3715,,,,,,80773,200258,,140.184167,-31.760556,6.82,,0.0,B9.5V,-0.034,-0.011,,false
3716,,,,,,80774,200257,,140.123333,-37.581389,6.05,,1.39,K3/4III,-0.017,-0.018,,false
3717,,,,,,80781,236851,,139.885833,-55.186667,6.28,,-0.1,B5V,-0.004,0.0,,false
3718,   The Pyx,,The,,Pyx,80874,177322,,140.373333,-25.965556,4.72,,1.63,M1III,-0.011,-0.008,0.01,false
3719,,,,,,80930,6858,,141.965,75.098333,6.29,,0.07,A5V s,-0.014,0.015,,false
3720,,,,,,80951,256599,,139.355833,-74.894444,5.29,,0.02,A1V,-0.015,0.03,,false
3721,,,,,,80950,256600,,139.364167,-74.734722,5.86,,-0.02,A0V,-0.041,0.033,,false
